cityNameByCN,zoneNameByCN,zoneName,iso2,GMT
安道爾,歐洲/安道爾,Europe/Andorra,AD,2
杜拜,亞洲/杜拜,Asia/Dubai,AE,4
喀布爾,亞洲/喀布爾,Asia/Kabul,AF,4
安地卡及巴布達,美洲/安地卡及巴布達,America/Antigua,AG,-4
安圭拉島,美洲/安圭拉島,America/Anguilla,AI,-4
地拉那,歐洲/地拉那,Europe/Tirane,AL,2
耶烈萬,亞洲/耶烈萬,Asia/Yerevan,AM,4
盧安達,非洲/盧安達,Africa/Luanda,AO,1
布宜諾斯艾利斯,美洲/阿根廷/布宜諾斯艾利斯,America/Argentina/Buenos_Aires,AR,-3
卡塔馬卡,美洲/阿根廷/卡塔馬卡,America/Argentina/Catamarca,AR,-3
科爾多瓦,美洲/阿根廷/科爾多瓦,America/Argentina/Cordoba,AR,-3
胡胡伊,美洲/阿根廷/胡胡伊,America/Argentina/Jujuy,AR,-3
拉里奧哈,美洲/阿根廷/拉里奧哈,America/Argentina/La_Rioja,AR,-3
門多薩,美洲/阿根廷/門多薩,America/Argentina/Mendoza,AR,-3
里奧加耶戈斯,美洲/阿根廷/里奧加耶戈斯,America/Argentina/Rio_Gallegos,AR,-3
薩爾塔,美洲/阿根廷/薩爾塔,America/Argentina/Salta,AR,-3
聖胡安,美洲/阿根廷/聖胡安,America/Argentina/San_Juan,AR,-3
聖路易斯,美洲/阿根廷/聖路易斯,America/Argentina/San_Luis,AR,-3
圖庫曼,美洲/阿根廷/圖庫曼,America/Argentina/Tucuman,AR,-3
烏斯懷亞,美洲/阿根廷/烏斯懷亞,America/Argentina/Ushuaia,AR,-3
帕果帕果,太平洋/帕果帕果,Pacific/Pago_Pago,AS,-11
維也納,歐洲/維也納,Europe/Vienna,AT,2
阿德萊德,澳大利亞/阿德萊德,Australia/Adelaide,AU,10
布里斯班,澳大利亞/布里斯班,Australia/Brisbane,AU,10
布洛肯希爾,澳大利亞/布洛肯希爾,Australia/Broken_Hill,AU,10
柯里,澳大利亞/柯里,Australia/Currie,AU,11
達爾文,澳大利亞/達爾文,Australia/Darwin,AU,9
尤克拉,澳大利亞/尤克拉,Australia/Eucla,AU,8
霍巴特,澳大利亞/霍巴特,Australia/Hobart,AU,11
林德曼,澳大利亞/林德曼,Australia/Lindeman,AU,10
豪勳爵島,澳大利亞/豪勳爵島,Australia/Lord_Howe,AU,11
墨爾本,澳大利亞/墨爾本,Australia/Melbourne,AU,11
珀斯,澳大利亞/珀斯,Australia/Perth,AU,8
悉尼,澳大利亞/悉尼,Australia/Sydney,AU,11
阿魯巴,美洲/阿魯巴,America/Aruba,AW,-4
瑪麗港,歐洲/瑪麗港,Europe/Mariehamn,AX,3
巴庫,亞洲/巴庫,Asia/Baku,AZ,4
賽拉耶佛,歐洲/賽拉耶佛,Europe/Sarajevo,BA,2
巴巴多斯,美洲/巴巴多斯,America/Barbados,BB,-4
達卡,亞洲/達卡,Asia/Dhaka,BD,6
布魯塞爾,歐洲/布魯塞爾,Europe/Brussels,BE,2
瓦加杜古,非洲/瓦加杜古,Africa/Ouagadougou,BF,0
索非亞,歐洲/索非亞,Europe/Sofia,BG,3
巴林,亞洲/巴林,Asia/Bahrain,BH,3
布瓊布拉,非洲/布瓊布拉,Africa/Bujumbura,BI,2
波多諾伏,非洲/波多諾伏,Africa/Porto-Novo,BJ,1
聖巴托洛繆,美洲/聖巴托洛繆,America/St_Barthelemy,BL,-4
百慕達,大西洋/百慕達,Atlantic/Bermuda,BM,-3
文萊,亞洲/文萊,Asia/Brunei,BN,8
拉巴斯,美洲/拉巴斯,America/La_Paz,BO,-4
博內爾,美洲/博內爾,America/Kralendijk,BQ,-4
阿拉瓜伊納,美洲/阿拉瓜伊納,America/Araguaina,BR,-3
巴伊亞,美洲/巴伊亞,America/Bahia,BR,-3
貝倫,美洲/貝倫,America/Belem,BR,-3
博阿維斯塔,美洲/博阿維斯塔,America/Boa_Vista,BR,-4
大坎普,美洲/大坎普,America/Campo_Grande,BR,-4
庫亞巴,美洲/庫亞巴,America/Cuiaba,BR,-4
艾魯內佩,美洲/艾魯內佩,America/Eirunepe,BR,-5
福塔萊薩,美洲/福塔萊薩,America/Fortaleza,BR,-3
馬賽約,美洲/馬賽約,America/Maceio,BR,-3
馬瑙斯,美洲/馬瑙斯,America/Manaus,BR,-4
奧諾羅尼亞,美洲/奧諾羅尼亞,America/Noronha,BR,-2
波多韋柳,美洲/波多韋柳,America/Porto_Velho,BR,-4
累西腓,美洲/累西腓,America/Recife,BR,-3
里奧布朗庫,美洲/里奧布朗庫,America/Rio_Branco,BR,-5
桑特萊,美洲/桑特萊,America/Santarem,BR,-3
聖保羅,美洲/聖保羅,America/Sao_Paulo,BR,-3
拿騷,美洲/拿騷,America/Nassau,BS,-4
廷布,亞洲/廷布,Asia/Thimphu,BT,6
嘉柏隆里,非洲/嘉柏隆里,Africa/Gaborone,BW,2
明斯克,歐洲/明斯克,Europe/Minsk,BY,3
伯利茲,美洲/伯利茲,America/Belize,BZ,-6
阿蒂科肯,美洲/阿蒂科肯,America/Atikokan,CA,-5
相思,美洲/相思,America/Blanc-Sablon,CA,-4
劍橋灣,美洲/劍橋灣,America/Cambridge_Bay,CA,-6
克雷斯頓,美洲/克雷斯頓,America/Creston,CA,-7
道森,美洲/道森,America/Dawson,CA,-7
道森克里克,美洲/道森克里克,America/Dawson_Creek,CA,-7
埃德蒙頓,美洲/埃德蒙頓,America/Edmonton,CA,-6
格萊斯貝,美洲/格萊斯貝,America/Glace_Bay,CA,-3
鵝灣,美洲/鵝灣,America/Goose_Bay,CA,-3
哈利法克斯,美洲/哈利法克斯,America/Halifax,CA,-3
伊努維克,美洲/伊努維克,America/Inuvik,CA,-6
伊卡瑞特,美洲/伊卡瑞特,America/Iqaluit,CA,-4
蒙克頓,美洲/蒙克頓,America/Moncton,CA,-3
蒙特利爾,美洲/蒙特利爾,America/Montreal,CA,-4
尼皮貢,美洲/尼皮貢,America/Nipigon,CA,-4
潘尼爾東,美洲/潘尼爾東,America/Pangnirtung,CA,-4
雨河,美洲/雨河,America/Rainy_River,CA,-5
蘭進,美洲/蘭進,America/Rankin_Inlet,CA,-5
里賈納,美洲/里賈納,America/Regina,CA,-6
雷索盧特,美洲/雷索盧特,America/Resolute,CA,-5
聖約翰斯,美洲/聖約翰斯,America/St_Johns,CA,-2
斯威夫特卡倫特,美洲/斯威夫特卡倫特,America/Swift_Current,CA,-6
桑德灣,美洲/桑德灣,America/Thunder_Bay,CA,-4
加拿大多倫多,美洲/加拿大多倫多,America/Toronto,CA,-4
溫哥華,美洲/溫哥華,America/Vancouver,CA,-7
懷特霍爾斯,美洲/懷特霍爾斯,America/Whitehorse,CA,-7
溫尼伯,美洲/溫尼伯,America/Winnipeg,CA,-5
耶洛奈夫,美洲/耶洛奈夫,America/Yellowknife,CA,-6
科科斯,印度洋/科科斯,Indian/Cocos,CC,6
金沙薩,非洲/金沙薩,Africa/Kinshasa,CD,1
盧本巴希,非洲/盧本巴希,Africa/Lubumbashi,CD,2
班吉,非洲/班吉,Africa/Bangui,CF,1
布拉柴維爾,非洲/布拉柴維爾,Africa/Brazzaville,CG,1
蘇黎世,歐洲/蘇黎世,Europe/Zurich,CH,2
阿比讓,非洲/阿比讓,Africa/Abidjan,CI,0
拉羅湯加,太平洋/拉羅湯加,Pacific/Rarotonga,CK,-10
聖地亞哥,美洲/聖地亞哥,America/Santiago,CL,-3
復活島,太平洋/復活島,Pacific/Easter,CL,-5
杜阿拉,非洲/杜阿拉,Africa/Douala,CM,1
重慶,亞洲/重慶,Asia/Chongqing,CN,8
哈爾濱,亞洲/哈爾濱,Asia/Harbin,CN,8
喀什葛爾,亞洲/喀什葛爾,Asia/Kashgar,CN,6
上海,亞洲/上海,Asia/Shanghai,CN,8
烏魯木齊,亞洲/烏魯木齊,Asia/Urumqi,CN,6
波哥大,美洲/波哥大,America/Bogota,CO,-5
哥斯達黎加,美洲/哥斯達黎加,America/Costa_Rica,CR,-6
哈瓦那,美洲/哈瓦那,America/Havana,CU,-4
佛得角,大西洋/佛得角,Atlantic/Cape_Verde,CV,-1
庫拉索島,美洲/庫拉索島,America/Curacao,CW,-4
聖誕島,印度/聖誕島,Indian/Christmas,CX,7
尼科西亞,亞洲/尼科西亞,Asia/Nicosia,CY,3
布拉格,歐洲/布拉格,Europe/Prague,CZ,2
柏林,歐洲/柏林,Europe/Berlin,DE,2
布辛根,歐洲/布辛根,Europe/Busingen,DE,2
吉布提,非洲/吉布提,Africa/Djibouti,DJ,3
哥本哈根,歐洲/哥本哈根,Europe/Copenhagen,DK,2
多米尼加,美洲/多米尼加,America/Dominica,DM,-4
聖多明各,美洲/聖多明各,America/Santo_Domingo,DO,-4
阿爾及爾,非洲/阿爾及爾,Africa/Algiers,DZ,1
瓜亞基爾,美洲/瓜亞基爾,America/Guayaquil,EC,-5
加拉帕戈斯,太平洋/加拉帕戈斯,Pacific/Galapagos,EC,-6
塔林,歐洲/塔林,Europe/Tallinn,EE,3
開羅,非洲/開羅,Africa/Cairo,EG,2
阿尤恩,非洲/阿尤恩,Africa/El_Aaiun,EH,1
阿斯馬拉,非洲/阿斯馬拉,Africa/Asmara,ER,3
休達,非洲/休達,Africa/Ceuta,ES,2
加那利,大西洋/加那利,Atlantic/Canary,ES,1
馬德里,歐洲/馬德里,Europe/Madrid,ES,2
阿迪斯阿貝巴,非洲/阿迪斯阿貝巴,Africa/Addis_Ababa,ET,3
赫爾辛基,歐洲/赫爾辛基,Europe/Helsinki,FI,3
斐濟,太平洋/斐濟,Pacific/Fiji,FJ,12
赤柱監獄,大西洋/赤柱監獄,Atlantic/Stanley,FK,-3
特魯克,太平洋/特魯克,Pacific/Chuuk,FM,10
科斯雷,太平洋/科斯雷,Pacific/Kosrae,FM,11
波納佩,太平洋/波納佩,Pacific/Pohnpei,FM,11
法羅群島,大西洋/法羅群島,Atlantic/Faroe,FO,1
巴黎,歐洲/巴黎,Europe/Paris,FR,2
自由市,非洲/自由市,Africa/Libreville,GA,1
倫敦,歐洲/倫敦,Europe/London,GB,1
格林納達,美洲/格林納達,America/Grenada,GD,-4
第比利斯,亞洲/第比利斯,Asia/Tbilisi,GE,4
卡宴,美洲/卡宴,America/Cayenne,GF,-3
格恩西島,歐洲/格恩西島,Europe/Guernsey,GG,1
阿克拉,非洲/阿克拉,Africa/Accra,GH,0
直布羅陀,歐洲/直布羅陀,Europe/Gibraltar,GI,2
丹馬沙,美洲/丹馬沙,America/Danmarkshavn,GL,0
哥特哈布,美洲/哥特哈布,America/Godthab,GL,-2
斯科斯比松,美洲/斯科斯比松,America/Scoresbysund,GL,0
圖勒,美洲/圖勒,America/Thule,GL,-3
班珠爾,非洲/班珠爾,Africa/Banjul,GM,0
科納克里,非洲/科納克里,Africa/Conakry,GN,0
瓜德羅普島,美洲/瓜德羅普島,America/Guadeloupe,GP,-4
馬拉博,非洲/馬拉博,Africa/Malabo,GQ,1
雅典,歐洲/雅典,Europe/Athens,GR,3
南喬治亞,大西洋/南喬治亞,Atlantic/South_Georgia,GS,-2
瓜地馬拉,美洲/瓜地馬拉,America/Guatemala,GT,-6
關島,太平洋/關島,Pacific/Guam,GU,10
比紹,非洲/比紹,Africa/Bissau,GW,0
圭亞那,美洲/圭亞那,America/Guyana,GY,-4
香港,亞洲/香港,Asia/Hong_Kong,HK,8
特古西加爾巴,美洲/特古西加爾巴,America/Tegucigalpa,HN,-6
薩格勒布,歐洲/薩格勒布,Europe/Zagreb,HR,2
端口,美洲/端口,America/Port-au-Prince,HT,-4
布達佩斯,歐洲/布達佩斯,Europe/Budapest,HU,2
雅加達,亞洲/雅加達,Asia/Jakarta,ID,7
查亞普拉,亞洲/查亞普拉,Asia/Jayapura,ID,9
望加錫,亞洲/望加錫,Asia/Makassar,ID,8
坤甸,亞洲/坤甸,Asia/Pontianak,ID,7
都柏林,歐洲/都柏林,Europe/Dublin,IE,1
耶路撒冷,亞洲/耶路撒冷,Asia/Jerusalem,IL,3
馬恩島,歐洲/馬恩島,Europe/Isle_of_Man,IM,1
加爾各答,亞洲/加爾各答,Asia/Kolkata,IN,5
查戈斯群島,印度/查戈斯群島,Indian/Chagos,IO,6
巴格達,亞洲/巴格達,Asia/Baghdad,IQ,3
德黑蘭,亞洲/德黑蘭,Asia/Tehran,IR,3
雷克雅未克,大西洋/雷克雅未克,Atlantic/Reykjavik,IS,0
羅馬,歐洲/羅馬,Europe/Rome,IT,2
新澤西州,歐洲/新澤西州,Europe/Jersey,JE,1
牙買加,美洲/牙買加,America/Jamaica,JM,-5
安曼,亞洲/安曼,Asia/Amman,JO,3
東京,亞洲/東京,Asia/Tokyo,JP,9
內羅畢,非洲/內羅畢,Africa/Nairobi,KE,3
比什凱克,亞洲/比什凱克,Asia/Bishkek,KG,6
金邊,亞洲/金邊,Asia/Phnom_Penh,KH,7
恩德伯里,太平洋/恩德伯里,Pacific/Enderbury,KI,13
克里斯馬斯,太平洋/克里斯馬斯,Pacific/Kiritimati,KI,14
塔拉瓦,太平洋/塔拉瓦,Pacific/Tarawa,KI,12
科莫羅,印度/科莫羅,Indian/Comoro,KM,3
聖基茨,美洲/聖基茨,America/St_Kitts,KN,-4
平壤,亞洲/平壤,Asia/Pyongyang,KP,9
首爾,亞洲/首爾,Asia/Seoul,KR,9
科威特,亞洲/科威特,Asia/Kuwait,KW,3
開曼,美洲/開曼,America/Cayman,KY,-5
阿拉木圖,亞洲/阿拉木圖,Asia/Almaty,KZ,6
阿克套,亞洲/阿克套,Asia/Aqtau,KZ,5
阿克托別,亞洲/阿克托別,Asia/Aqtobe,KZ,5
烏拉爾,亞洲/烏拉爾,Asia/Oral,KZ,5
克孜勒奧爾達,亞洲/克孜勒奧爾達,Asia/Qyzylorda,KZ,5
萬象,亞洲/萬象,Asia/Vientiane,LA,7
貝魯特,亞洲/貝魯特,Asia/Beirut,LB,3
聖露西亞,美洲/聖露西亞,America/St_Lucia,LC,-4
瓦杜茲,歐洲/瓦杜茲,Europe/Vaduz,LI,2
科倫坡,亞洲/科倫坡,Asia/Colombo,LK,5
蒙羅維亞,非洲/蒙羅維亞,Africa/Monrovia,LR,0
馬塞盧,非洲/馬塞盧,Africa/Maseru,LS,2
維爾紐斯,歐洲/維爾紐斯,Europe/Vilnius,LT,3
盧森堡,歐洲/盧森堡,Europe/Luxembourg,LU,2
裡加,歐洲/裡加,Europe/Riga,LV,3
的黎波里,非洲/的黎波里,Africa/Tripoli,LY,2
卡薩布蘭卡,非洲/卡薩布蘭卡,Africa/Casablanca,MA,1
摩納哥,歐洲/摩納哥,Europe/Monaco,MC,2
基希納烏,歐洲/基希納烏,Europe/Chisinau,MD,3
波德戈里察,歐洲/波德戈里察,Europe/Podgorica,ME,2
馬里戈特,美洲/馬里戈特,America/Marigot,MF,-4
安塔那那利佛,印度/安塔那那利佛,Indian/Antananarivo,MG,3
誇賈林,太平洋/誇賈林,Pacific/Kwajalein,MH,12
馬朱羅,太平洋/馬朱羅,Pacific/Majuro,MH,12
斯科普里,歐洲/斯科普里,Europe/Skopje,MK,2
巴馬科,非洲/巴馬科,Africa/Bamako,ML,0
仰光,亞洲/仰光,Asia/Rangoon,MM,6
喬巴山,亞洲/喬巴山,Asia/Choibalsan,MN,8
科布多,亞洲/科布多,Asia/Hovd,MN,7
烏蘭巴托市,亞洲/烏蘭巴托市,Asia/Ulaanbaatar,MN,8
澳門,亞洲/澳門,Asia/Macau,MO,8
塞班島,太平洋/塞班島,Pacific/Saipan,MP,10
馬提尼克島,美洲/馬提尼克島,America/Martinique,MQ,-4
努瓦克肖特,非洲/努瓦克肖特,Africa/Nouakchott,MR,0
蒙特塞拉特島,美洲/蒙特塞拉特島,America/Montserrat,MS,-4
馬爾他,歐洲/馬爾他,Europe/Malta,MT,2
毛里求斯,印度洋/毛里求斯,Indian/Mauritius,MU,4
馬爾代夫,印度/馬爾代夫,Indian/Maldives,MV,5
布蘭太爾,非洲/布蘭太爾,Africa/Blantyre,MW,2
巴伊亞班德拉斯,美洲/巴伊亞班德拉斯,America/Bahia_Banderas,MX,-5
坎昆,美洲/坎昆,America/Cancun,MX,-5
契瓦瓦,美洲/契瓦瓦,America/Chihuahua,MX,-6
埃莫西約,美洲/埃莫西約,America/Hermosillo,MX,-7
馬塔莫羅斯,美洲/馬塔莫羅斯,America/Matamoros,MX,-5
馬薩特蘭,美洲/馬薩特蘭,America/Mazatlan,MX,-6
梅里達,美洲/梅里達,America/Merida,MX,-5
墨西哥城,美洲/墨西哥城,America/Mexico_City,MX,-5
蒙特雷會議,美洲/蒙特雷會議,America/Monterrey,MX,-5
Ojinaga,美洲/Ojinaga,America/Ojinaga,MX,-6
聖伊莎貝爾,美洲/聖伊莎貝爾,America/Santa_Isabel,MX,-7
蒂華納,美洲/蒂華納,America/Tijuana,MX,-7
吉隆坡,亞洲/吉隆坡,Asia/Kuala_Lumpur,MY,8
古晉,亞洲/古晉,Asia/Kuching,MY,8
馬普托,非洲/馬普托,Africa/Maputo,MZ,2
文毫克,非洲/文毫克,Africa/Windhoek,NA,2
努美阿,太平洋/努美阿,Pacific/Noumea,NC,11
尼阿美,非洲/尼阿美,Africa/Niamey,NE,1
諾福克,太平洋/諾福克,Pacific/Norfolk,NF,12
拉各斯,非洲/拉各斯,Africa/Lagos,NG,1
馬那瓜,美洲/馬那瓜,America/Managua,NI,-6
阿姆斯特丹,歐洲/阿姆斯特丹,Europe/Amsterdam,NL,2
奧斯陸,歐洲/奧斯陸,Europe/Oslo,NO,2
加德滿都,亞洲/加德滿都,Asia/Kathmandu,NP,5
瑙魯,太平洋/瑙魯,Pacific/Nauru,NR,12
紐埃,太平洋/紐埃,Pacific/Niue,NU,-11
奧克蘭,太平洋/奧克蘭,Pacific/Auckland,NZ,13
查塔姆,太平洋/查塔姆,Pacific/Chatham,NZ,13
馬斯喀特,亞洲/馬斯喀特,Asia/Muscat,OM,4
巴拿馬,美洲/巴拿馬,America/Panama,PA,-5
利馬,美洲/利馬,America/Lima,PE,-5
甘比爾,太平洋/甘比爾,Pacific/Gambier,PF,-9
馬克薩斯,太平洋/馬克薩斯,Pacific/Marquesas,PF,-9
塔希提島,太平洋/塔希提島,Pacific/Tahiti,PF,-10
莫爾茲比港,太平洋/莫爾茲比港,Pacific/Port_Moresby,PG,10
馬尼拉,亞洲/馬尼拉,Asia/Manila,PH,8
卡拉奇,亞洲/卡拉奇,Asia/Karachi,PK,5
華沙,歐洲/華沙,Europe/Warsaw,PL,2
米克隆的,美洲/米克隆的,America/Miquelon,PM,-2
皮特凱恩,太平洋/皮特凱恩,Pacific/Pitcairn,PN,-8
波多黎各,美洲/波多黎各,America/Puerto_Rico,PR,-4
加沙,亞洲/加沙,Asia/Gaza,PS,3
希伯倫,亞洲/希伯倫,Asia/Hebron,PS,3
亞速爾群島,大西洋/亞速爾群島,Atlantic/Azores,PT,0
馬德拉島,大西洋/馬德拉島,Atlantic/Madeira,PT,1
里斯本,歐洲/里斯本,Europe/Lisbon,PT,1
帛流,太平洋/帛流,Pacific/Palau,PW,9
亞松森,美洲/亞松森,America/Asuncion,PY,-3
卡塔爾,亞洲/卡塔爾,Asia/Qatar,QA,3
留尼汪,印度/留尼汪,Indian/Reunion,RE,4
布加勒斯特,歐洲/布加勒斯特,Europe/Bucharest,RO,3
貝爾格萊德,歐洲/貝爾格萊德,Europe/Belgrade,RS,2
阿納德爾,亞洲/阿納德爾,Asia/Anadyr,RU,12
伊爾庫次克,亞洲/伊爾庫次克,Asia/Irkutsk,RU,8
堪察加半島,亞洲/堪察加半島,Asia/Kamchatka,RU,12
Khandyga,亞洲/Khandyga,Asia/Khandyga,RU,9
克拉斯諾亞爾斯克,亞洲/克拉斯諾亞爾斯克,Asia/Krasnoyarsk,RU,7
馬加丹,亞洲/馬加丹,Asia/Magadan,RU,11
新庫茲涅茨克,亞洲/新庫茲涅茨克,Asia/Novokuznetsk,RU,7
新西伯利亞,亞洲/新西伯利亞,Asia/Novosibirsk,RU,7
鄂木斯克,亞洲/鄂木斯克,Asia/Omsk,RU,6
薩哈林島,亞洲/薩哈林島,Asia/Sakhalin,RU,11
烏斯,亞洲/烏斯,Asia/Ust-Nera,RU,7
符拉迪沃斯托克,亞洲/符拉迪沃斯托克,Asia/Vladivostok,RU,10
雅庫茨克,亞洲/雅庫茨克,Asia/Yakutsk,RU,9
葉卡捷琳堡,亞洲/葉卡捷琳堡,Asia/Yekaterinburg,RU,5
加里寧格勒,歐洲/加里寧格勒,Europe/Kaliningrad,RU,2
莫斯科,歐洲/莫斯科,Europe/Moscow,RU,3
薩馬拉,歐洲/薩馬拉,Europe/Samara,RU,4
伏爾加格勒,歐洲/伏爾加格勒,Europe/Volgograd,RU,3
基加利,非洲/基加利,Africa/Kigali,RW,2
利雅得,亞洲/利雅得,Asia/Riyadh,SA,3
瓜達爾卡納爾島,太平洋/瓜達爾卡納爾島,Pacific/Guadalcanal,SB,11
馬埃島,印度/馬埃島,Indian/Mahe,SC,4
喀土穆,非洲/喀土穆,Africa/Khartoum,SD,2
斯德哥爾摩,歐洲/斯德哥爾摩,Europe/Stockholm,SE,2
新加坡,亞洲/新加坡,Asia/Singapore,SG,8
聖赫勒拿島,大西洋/聖赫勒拿島,Atlantic/St_Helena,SH,0
盧布爾雅那,歐洲/盧布爾雅那,Europe/Ljubljana,SI,2
朗伊爾城,北極/朗伊爾城,Arctic/Longyearbyen,SJ,2
布拉迪斯拉發,歐洲/布拉迪斯拉發,Europe/Bratislava,SK,2
弗里敦,非洲/弗里敦,Africa/Freetown,SL,0
聖馬力諾,歐洲/聖馬力諾,Europe/San_Marino,SM,2
達卡,非洲/達卡,Africa/Dakar,SN,0
摩加迪休,非洲/摩加迪休,Africa/Mogadishu,SO,3
帕拉馬里博,美洲/帕拉馬里博,America/Paramaribo,SR,-3
朱巴,非洲/朱巴,Africa/Juba,SS,2
聖多美,非洲/聖多美,Africa/Sao_Tome,ST,0
薩爾瓦多,美洲/薩爾瓦多,America/El_Salvador,SV,-6
下王子,美洲/下王子,America/Lower_Princes,SX,-4
大馬士革,亞洲/大馬士革,Asia/Damascus,SY,3
墨巴本,非洲/墨巴本,Africa/Mbabane,SZ,2
大特克,美洲/大特克,America/Grand_Turk,TC,-4
恩賈梅納,非洲/恩賈梅納,Africa/Ndjamena,TD,1
凱爾蓋朗,印度/凱爾蓋朗,Indian/Kerguelen,TF,5
洛美,非洲/洛美,Africa/Lome,TG,0
曼谷,亞洲/曼谷,Asia/Bangkok,TH,7
杜尚別,亞洲/杜尚別,Asia/Dushanbe,TJ,5
法考福,太平洋/法考福,Pacific/Fakaofo,TK,13
帝力,亞洲/帝力,Asia/Dili,TL,9
阿什哈巴特,亞洲/阿什哈巴特,Asia/Ashgabat,TM,5
突尼斯,非洲/突尼斯,Africa/Tunis,TN,1
湯加塔布,太平洋/湯加塔布,Pacific/Tongatapu,TO,13
伊斯坦布爾,歐洲/伊斯坦布爾,Europe/Istanbul,TR,3
西班牙港,美洲/西班牙港,America/Port_of_Spain,TT,-4
富納富提,太平洋/富納富提,Pacific/Funafuti,TV,12
台北,亞洲/台北,Asia/Taipei,TW,8
三蘭港,非洲/三蘭港,Africa/Dar_es_Salaam,TZ,3
基輔,歐洲/基輔,Europe/Kiev,UA,3
辛菲羅波爾,歐洲/辛菲羅波爾,Europe/Simferopol,UA,3
烏日哥羅德,歐洲/烏日哥羅德,Europe/Uzhgorod,UA,3
扎波羅熱,歐洲/扎波羅熱,Europe/Zaporozhye,UA,3
坎帕拉,非洲/坎帕拉,Africa/Kampala,UG,3
約翰斯頓,太平洋/約翰斯頓,Pacific/Johnston,UM,-10
中途島,太平洋/中途島,Pacific/Midway,UM,-11
威克島,太平洋/威克島,Pacific/Wake,UM,12
埃達克,美國/埃達克,America/Adak,US,-9
安克拉治,美國/安克拉治,America/Anchorage,US,-8
博伊西,美國/博伊西,America/Boise,US,-6
芝加哥,美國/芝加哥,America/Chicago,US,-5
丹佛,美國/丹佛,America/Denver,US,-6
底特律,美國/底特律,America/Detroit,US,-4
印第安納波利斯,美國/印第安納州/印第安納波利斯,America/Indiana/Indianapolis,US,-4
諾克斯,美國/印第安納州/諾克斯,America/Indiana/Knox,US,-5
馬倫戈,美國/印第安納州/馬倫戈,America/Indiana/Marengo,US,-4
聖彼得堡,美國/印第安納州/聖彼得堡,America/Indiana/Petersburg,US,-4
告訴市,美國/印第安納州/告訴市,America/Indiana/Tell_City,US,-5
韋韋,美國/印第安納州/印第安納州/Vevay,America/Indiana/Vevay,US,-4
文森斯,美國/印第安納州/文森斯,America/Indiana/Vincennes,US,-4
威納馬克,美國/印第安納州/威納馬克,America/Indiana/Winamac,US,-4
朱諾,美國/朱諾,America/Juneau,US,-8
路易斯維爾,美國/肯塔基州/路易斯維爾,America/Kentucky/Louisville,US,-4
蒙蒂塞洛,美國/肯塔基州/蒙蒂塞洛,America/Kentucky/Monticello,US,-4
洛杉磯,美國/洛杉磯,America/Los_Angeles,US,-7
梅諾米尼,美國/梅諾米尼,America/Menominee,US,-5
梅特拉卡特拉,美國/梅特拉卡特拉,America/Metlakatla,US,-8
紐約,美國/紐約,America/New_York,US,-4
諾姆,美國/諾姆,America/Nome,US,-8
北達科他州/比尤拉,美國/北達科他州/Beulah,America/North_Dakota/Beulah,US,-5
北達科他州/中心,美國/北達科他州/中心,America/North_Dakota/Center,US,-5
北達科他州/新塞勒姆,美國/北達科他州/新塞勒姆,America/North_Dakota/New_Salem,US,-5
鳳凰城,美國/鳳凰城,America/Phoenix,US,-7
新墨西哥州/希普羅克峰,美國/新墨西哥州/Shiprock,America/Shiprock,US,-6
錫特卡,美國/錫特卡,America/Sitka,US,-8
亞庫塔特的,美國/亞庫塔特的,America/Yakutat,US,-8
檀香山,太平洋/檀香山,Pacific/Honolulu,US,-10
蒙得維的亞,美洲/蒙得維的亞,America/Montevideo,UY,-3
撒馬爾罕,亞洲/撒馬爾罕,Asia/Samarkand,UZ,5
塔什幹,亞洲/塔什幹,Asia/Tashkent,UZ,5
梵蒂岡,歐洲/梵蒂岡,Europe/Vatican,VA,2
聖文森特,美洲/聖文森特,America/St_Vincent,VC,-4
加拉加斯,美洲/加拉加斯,America/Caracas,VE,-4
英屬維爾京群島,美洲/英屬維爾京群島,America/Tortola,VG,-4
聖托馬斯,美洲/聖托馬斯,America/St_Thomas,VI,-4
胡志明,亞洲/胡志明,Asia/Ho_Chi_Minh,VN,7
埃法特,太平洋/埃法特,Pacific/Efate,VU,11
瓦利斯,太平洋/瓦利斯,Pacific/Wallis,WF,12
阿皮亞,太平洋/阿皮亞,Pacific/Apia,WS,13
亞丁,亞洲/亞丁,Asia/Aden,YE,3
馬約特島,印度/馬約特島,Indian/Mayotte,YT,3
約翰內斯堡,非洲/約翰內斯堡,Africa/Johannesburg,ZA,2
路沙卡,非洲/路沙卡,Africa/Lusaka,ZM,2
哈拉雷,非洲/哈拉雷,Africa/Harare,ZW,2