cityNameByCN,zoneName,zoneNameByCN,iso2,GMT,Null
科威特,Asia/Kuwait,亞洲/科威特,KW,3,
開曼,America/Cayman,美洲/開曼,KY,-5,
阿拉木圖,Asia/Almaty,亞洲/阿拉木圖,KZ,6,
阿克套,Asia/Aqtau,亞洲/阿克套,KZ,5,
阿克托別,Asia/Aqtobe,亞洲/阿克托別,KZ,5,
烏拉爾,Asia/Oral,亞洲/烏拉爾,KZ,5,
克孜勒奧爾達,Asia/Qyzylorda,亞洲/克孜勒奧爾達,KZ,5,
萬象,Asia/Vientiane,亞洲/萬象,LA,7,
貝魯特,Asia/Beirut,亞洲/貝魯特,LB,3,
聖露西亞,America/St_Lucia,美洲/聖露西亞,LC,-4,
瓦杜茲,Europe/Vaduz,歐洲/瓦杜茲,LI,2,
科倫坡,Asia/Colombo,亞洲/科倫坡,LK,5,
蒙羅維亞,Africa/Monrovia,非洲/蒙羅維亞,LR,0,
馬塞盧,Africa/Maseru,非洲/馬塞盧,LS,2,
維爾紐斯,Europe/Vilnius,歐洲/維爾紐斯,LT,3,
盧森堡,Europe/Luxembourg,歐洲/盧森堡,LU,2,
裡加,Europe/Riga,歐洲/裡加,LV,3,
的黎波里,Africa/Tripoli,非洲/的黎波里,LY,2,
卡薩布蘭卡,Africa/Casablanca,非洲/卡薩布蘭卡,MA,1,
摩納哥,Europe/Monaco,歐洲/摩納哥,MC,2,
基希納烏,Europe/Chisinau,歐洲/基希納烏,MD,3,
波德戈里察,Europe/Podgorica,歐洲/波德戈里察,ME,2,
馬里戈特,America/Marigot,美洲/馬里戈特,MF,-4,
安塔那那利佛,Indian/Antananarivo,印度/安塔那那利佛,MG,3,
誇賈林,Pacific/Kwajalein,太平洋/誇賈林,MH,12,
馬朱羅,Pacific/Majuro,太平洋/馬朱羅,MH,12,
斯科普里,Europe/Skopje,歐洲/斯科普里,MK,2,
巴馬科,Africa/Bamako,非洲/巴馬科,ML,0,
仰光,Asia/Rangoon,亞洲/仰光,MM,6,
喬巴山,Asia/Choibalsan,亞洲/喬巴山,MN,8,
科布多,Asia/Hovd,亞洲/科布多,MN,7,
烏蘭巴托市,Asia/Ulaanbaatar,亞洲/烏蘭巴托市,MN,8,
澳門,Asia/Macau,亞洲/澳門,MO,8,
塞班島,Pacific/Saipan,太平洋/塞班島,MP,10,
馬提尼克島,America/Martinique,美洲/馬提尼克島,MQ,-4,
努瓦克肖特,Africa/Nouakchott,非洲/努瓦克肖特,MR,0,
蒙特塞拉特島,America/Montserrat,美洲/蒙特塞拉特島,MS,-4,
馬爾他,Europe/Malta,歐洲/馬爾他,MT,2,
毛里求斯,Indian/Mauritius,印度洋/毛里求斯,MU,4,
馬爾代夫,Indian/Maldives,印度/馬爾代夫,MV,5,
布蘭太爾,Africa/Blantyre,非洲/布蘭太爾,MW,2,
巴伊亞班德拉斯,America/Bahia_Banderas,美洲/巴伊亞班德拉斯,MX,-5,
坎昆,America/Cancun,美洲/坎昆,MX,-5,
契瓦瓦,America/Chihuahua,美洲/契瓦瓦,MX,-6,
埃莫西約,America/Hermosillo,美洲/埃莫西約,MX,-7,
馬塔莫羅斯,America/Matamoros,美洲/馬塔莫羅斯,MX,-5,
馬薩特蘭,America/Mazatlan,美洲/馬薩特蘭,MX,-6,
梅里達,America/Merida,美洲/梅里達,MX,-5,
墨西哥城,America/Mexico_City,美洲/墨西哥城,MX,-5,
蒙特雷會議,America/Monterrey,美洲/蒙特雷會議,MX,-5,
Ojinaga,America/Ojinaga,美洲/Ojinaga,MX,-6,
聖伊莎貝爾,America/Santa_Isabel,美洲/聖伊莎貝爾,MX,-7,
蒂華納,America/Tijuana,美洲/蒂華納,MX,-7,
吉隆坡,Asia/Kuala_Lumpur,亞洲/吉隆坡,MY,8,
古晉,Asia/Kuching,亞洲/古晉,MY,8,
馬普托,Africa/Maputo,非洲/馬普托,MZ,2,
文毫克,Africa/Windhoek,非洲/文毫克,NA,2,
努美阿,Pacific/Noumea,太平洋/努美阿,NC,11,
尼阿美,Africa/Niamey,非洲/尼阿美,NE,1,
諾福克,Pacific/Norfolk,太平洋/諾福克,NF,12,
拉各斯,Africa/Lagos,非洲/拉各斯,NG,1,
馬那瓜,America/Managua,美洲/馬那瓜,NI,-6,
阿姆斯特丹,Europe/Amsterdam,歐洲/阿姆斯特丹,NL,2,
奧斯陸,Europe/Oslo,歐洲/奧斯陸,NO,2,
加德滿都,Asia/Kathmandu,亞洲/加德滿都,NP,5,
瑙魯,Pacific/Nauru,太平洋/瑙魯,NR,12,
紐埃,Pacific/Niue,太平洋/紐埃,NU,-11,
奧克蘭,Pacific/Auckland,太平洋/奧克蘭,NZ,13,
查塔姆,Pacific/Chatham,太平洋/查塔姆,NZ,13,
馬斯喀特,Asia/Muscat,亞洲/馬斯喀特,OM,4,
巴拿馬,America/Panama,美洲/巴拿馬,PA,-5,
利馬,America/Lima,美洲/利馬,PE,-5,
甘比爾,Pacific/Gambier,太平洋/甘比爾,PF,-9,
馬克薩斯,Pacific/Marquesas,太平洋/馬克薩斯,PF,-9,
塔希提島,Pacific/Tahiti,太平洋/塔希提島,PF,-10,
莫爾茲比港,Pacific/Port_Moresby,太平洋/莫爾茲比港,PG,10,
馬尼拉,Asia/Manila,亞洲/馬尼拉,PH,8,
卡拉奇,Asia/Karachi,亞洲/卡拉奇,PK,5,
華沙,Europe/Warsaw,歐洲/華沙,PL,2,
米克隆的,America/Miquelon,美洲/米克隆的,PM,-2,
皮特凱恩,Pacific/Pitcairn,太平洋/皮特凱恩,PN,-8,
波多黎各,America/Puerto_Rico,美洲/波多黎各,PR,-4,
加沙,Asia/Gaza,亞洲/加沙,PS,3,
希伯倫,Asia/Hebron,亞洲/希伯倫,PS,3,
亞速爾群島,Atlantic/Azores,大西洋/亞速爾群島,PT,0,
馬德拉島,Atlantic/Madeira,大西洋/馬德拉島,PT,1,
里斯本,Europe/Lisbon,歐洲/里斯本,PT,1,
帛流,Pacific/Palau,太平洋/帛流,PW,9,
亞松森,America/Asuncion,美洲/亞松森,PY,-3,
卡塔爾,Asia/Qatar,亞洲/卡塔爾,QA,3,
留尼汪,Indian/Reunion,印度/留尼汪,RE,4,
布加勒斯特,Europe/Bucharest,歐洲/布加勒斯特,RO,3,
貝爾格萊德,Europe/Belgrade,歐洲/貝爾格萊德,RS,2,
阿納德爾,Asia/Anadyr,亞洲/阿納德爾,RU,12,
伊爾庫次克,Asia/Irkutsk,亞洲/伊爾庫次克,RU,8,
堪察加半島,Asia/Kamchatka,亞洲/堪察加半島,RU,12,
Khandyga,Asia/Khandyga,亞洲/Khandyga,RU,9,
克拉斯諾亞爾斯克,Asia/Krasnoyarsk,亞洲/克拉斯諾亞爾斯克,RU,7,
馬加丹,Asia/Magadan,亞洲/馬加丹,RU,11,
新庫茲涅茨克,Asia/Novokuznetsk,亞洲/新庫茲涅茨克,RU,7,
新西伯利亞,Asia/Novosibirsk,亞洲/新西伯利亞,RU,7,
鄂木斯克,Asia/Omsk,亞洲/鄂木斯克,RU,6,
薩哈林島,Asia/Sakhalin,亞洲/薩哈林島,RU,11,
烏斯,Asia/Ust-Nera,亞洲/烏斯,RU,7,
符拉迪沃斯托克,Asia/Vladivostok,亞洲/符拉迪沃斯托克,RU,10,
雅庫茨克,Asia/Yakutsk,亞洲/雅庫茨克,RU,9,
葉卡捷琳堡,Asia/Yekaterinburg,亞洲/葉卡捷琳堡,RU,5,
加里寧格勒,Europe/Kaliningrad,歐洲/加里寧格勒,RU,2,
莫斯科,Europe/Moscow,歐洲/莫斯科,RU,3,
薩馬拉,Europe/Samara,歐洲/薩馬拉,RU,4,
伏爾加格勒,Europe/Volgograd,歐洲/伏爾加格勒,RU,3,
基加利,Africa/Kigali,非洲/基加利,RW,2,
利雅得,Asia/Riyadh,亞洲/利雅得,SA,3,
瓜達爾卡納爾島,Pacific/Guadalcanal,太平洋/瓜達爾卡納爾島,SB,11,
馬埃島,Indian/Mahe,印度/馬埃島,SC,4,
喀土穆,Africa/Khartoum,非洲/喀土穆,SD,2,
斯德哥爾摩,Europe/Stockholm,歐洲/斯德哥爾摩,SE,2,
新加坡,Asia/Singapore,亞洲/新加坡,SG,8,
聖赫勒拿島,Atlantic/St_Helena,大西洋/聖赫勒拿島,SH,0,
盧布爾雅那,Europe/Ljubljana,歐洲/盧布爾雅那,SI,2,
朗伊爾城,Arctic/Longyearbyen,北極/朗伊爾城,SJ,2,
布拉迪斯拉發,Europe/Bratislava,歐洲/布拉迪斯拉發,SK,2,
弗里敦,Africa/Freetown,非洲/弗里敦,SL,0,
聖馬力諾,Europe/San_Marino,歐洲/聖馬力諾,SM,2,
達卡,Africa/Dakar,非洲/達卡,SN,0,
摩加迪休,Africa/Mogadishu,非洲/摩加迪休,SO,3,
帕拉馬里博,America/Paramaribo,美洲/帕拉馬里博,SR,-3,
朱巴,Africa/Juba,非洲/朱巴,SS,2,
聖多美,Africa/Sao_Tome,非洲/聖多美,ST,0,
薩爾瓦多,America/El_Salvador,美洲/薩爾瓦多,SV,-6,
下王子,America/Lower_Princes,美洲/下王子,SX,-4,
大馬士革,Asia/Damascus,亞洲/大馬士革,SY,3,
墨巴本,Africa/Mbabane,非洲/墨巴本,SZ,2,
大特克,America/Grand_Turk,美洲/大特克,TC,-4,
恩賈梅納,Africa/Ndjamena,非洲/恩賈梅納,TD,1,
凱爾蓋朗,Indian/Kerguelen,印度/凱爾蓋朗,TF,5,
洛美,Africa/Lome,非洲/洛美,TG,0,
曼谷,Asia/Bangkok,亞洲/曼谷,TH,7,
杜尚別,Asia/Dushanbe,亞洲/杜尚別,TJ,5,
法考福,Pacific/Fakaofo,太平洋/法考福,TK,13,
帝力,Asia/Dili,亞洲/帝力,TL,9,
阿什哈巴特,Asia/Ashgabat,亞洲/阿什哈巴特,TM,5,
突尼斯,Africa/Tunis,非洲/突尼斯,TN,1,
湯加塔布,Pacific/Tongatapu,太平洋/湯加塔布,TO,13,
伊斯坦布爾,Europe/Istanbul,歐洲/伊斯坦布爾,TR,3,
西班牙港,America/Port_of_Spain,美洲/西班牙港,TT,-4,
富納富提,Pacific/Funafuti,太平洋/富納富提,TV,12,
台北,Asia/Taipei,亞洲/台北,TW,8,
三蘭港,Africa/Dar_es_Salaam,非洲/三蘭港,TZ,3,
基輔,Europe/Kiev,歐洲/基輔,UA,3,
辛菲羅波爾,Europe/Simferopol,歐洲/辛菲羅波爾,UA,3,
烏日哥羅德,Europe/Uzhgorod,歐洲/烏日哥羅德,UA,3,
扎波羅熱,Europe/Zaporozhye,歐洲/扎波羅熱,UA,3,
坎帕拉,Africa/Kampala,非洲/坎帕拉,UG,3,
約翰斯頓,Pacific/Johnston,太平洋/約翰斯頓,UM,-10,
中途島,Pacific/Midway,太平洋/中途島,UM,-11,
威克島,Pacific/Wake,太平洋/威克島,UM,12,
埃達克,America/Adak,美國/埃達克,US,-9,
安克拉治,America/Anchorage,美國/安克拉治,US,-8,
博伊西,America/Boise,美國/博伊西,US,-6,
芝加哥,America/Chicago,美國/芝加哥,US,-5,
丹佛,America/Denver,美國/丹佛,US,-6,
底特律,America/Detroit,美國/底特律,US,-4,
印第安納波利斯,America/Indiana/Indianapolis,美國/印第安納州/印第安納波利斯,US,-4,
諾克斯,America/Indiana/Knox,美國/印第安納州/諾克斯,US,-5,
馬倫戈,America/Indiana/Marengo,美國/印第安納州/馬倫戈,US,-4,
聖彼得堡,America/Indiana/Petersburg,美國/印第安納州/聖彼得堡,US,-4,
告訴市,America/Indiana/Tell_City,美國/印第安納州/告訴市,US,-5,
韋韋,America/Indiana/Vevay,美國/印第安納州/印第安納州/Vevay,US,-4,
文森斯,America/Indiana/Vincennes,美國/印第安納州/文森斯,US,-4,
威納馬克,America/Indiana/Winamac,美國/印第安納州/威納馬克,US,-4,
朱諾,America/Juneau,美國/朱諾,US,-8,
路易斯維爾,America/Kentucky/Louisville,美國/肯塔基州/路易斯維爾,US,-4,
蒙蒂塞洛,America/Kentucky/Monticello,美國/肯塔基州/蒙蒂塞洛,US,-4,
洛杉磯,America/Los_Angeles,美國/洛杉磯,US,-7,
梅諾米尼,America/Menominee,美國/梅諾米尼,US,-5,
梅特拉卡特拉,America/Metlakatla,美國/梅特拉卡特拉,US,-8,
紐約,America/New_York,美國/紐約,US,-4,
諾姆,America/Nome,美國/諾姆,US,-8,
北達科他州/比尤拉,America/North_Dakota/Beulah,美國/北達科他州/Beulah,US,-5,
北達科他州/中心,America/North_Dakota/Center,美國/北達科他州/中心,US,-5,
北達科他州/新塞勒姆,America/North_Dakota/New_Salem,美國/北達科他州/新塞勒姆,US,-5,
鳳凰城,America/Phoenix,美國/鳳凰城,US,-7,
新墨西哥州/希普羅克峰,America/Shiprock,美國/新墨西哥州/Shiprock,US,-6,
錫特卡,America/Sitka,美國/錫特卡,US,-8,
亞庫塔特的,America/Yakutat,美國/亞庫塔特的,US,-8,
檀香山,Pacific/Honolulu,太平洋/檀香山,US,-10,
蒙得維的亞,America/Montevideo,美洲/蒙得維的亞,UY,-3,
撒馬爾罕,Asia/Samarkand,亞洲/撒馬爾罕,UZ,5,
塔什幹,Asia/Tashkent,亞洲/塔什幹,UZ,5,
梵蒂岡,Europe/Vatican,歐洲/梵蒂岡,VA,2,
聖文森特,America/St_Vincent,美洲/聖文森特,VC,-4,
加拉加斯,America/Caracas,美洲/加拉加斯,VE,-4,
英屬維爾京群島,America/Tortola,美洲/英屬維爾京群島,VG,-4,
聖托馬斯,America/St_Thomas,美洲/聖托馬斯,VI,-4,
胡志明,Asia/Ho_Chi_Minh,亞洲/胡志明,VN,7,
埃法特,Pacific/Efate,太平洋/埃法特,VU,11,
瓦利斯,Pacific/Wallis,太平洋/瓦利斯,WF,12,
阿皮亞,Pacific/Apia,太平洋/阿皮亞,WS,13,
亞丁,Asia/Aden,亞洲/亞丁,YE,3,
馬約特島,Indian/Mayotte,印度/馬約特島,YT,3,
約翰內斯堡,Africa/Johannesburg,非洲/約翰內斯堡,ZA,2,
路沙卡,Africa/Lusaka,非洲/路沙卡,ZM,2,
哈拉雷,Africa/Harare,非洲/哈拉雷,ZW,2,